;Post War;Contemporary;Ultra Contemporary;NFT
2018-Q1;506154596;301263850;15443641;0
2018-Q2;1330857030;738377162;48486550;14910
2018-Q3;278136694;137677106;15626615;12493
2018-Q4;1325721516;658789175;39554422;25039
2019-Q1;468884985;202217980;26338770;51084
2019-Q2;1322337860;737746538;71693388;69559
2019-Q3;180583047;87028408;11429812;63876
2019-Q4;1385438229;753622810;82419219;306360
2020-Q1;286811917;161583568;31901696;775826
2020-Q2;372840909;141765560;21733365;1088275
2020-Q3;736690290;350728850;67054416;5587941
2020-Q4;1153359318;686706700;145528577;10141448
2021-Q1;322896828;243264558;116011994;130446088
2021-Q2;1434059199;1101698090;259472287;121173606
2021-Q3;281003993;156294141;87762681;1475501009
2021-Q4;1964778726;1014325354;336384652;674817581
2022-Q1;479618828;262651038;108661219;352707837
2022-Q2;1824766992;680287338;274966717;201752800